country,city,s1_scene_file,s2_scene_file,s1_datetime_utc,s2_datetime_utc,pair_gap_days,orbit,polarizations,s1_product_id,s2_product_id
Poland,Rzeszow,Poland_Rzeszow_S1_2023-03-03_2023-03-03_04_45_00_DESCENDING_VVplusVH_BuiltUpMain.tif,Poland_Rzeszow_S2_2023-03-17_2023-03-17_09_36_46_RGB_BuiltUpMain.tif,2023-03-03 04:45:00,2023-03-17 09:36:46,14.2026,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230303T044500_20230303T044525_047475_05B322_8339,20230317T093039_20230317T093038_T34UEA
Poland,Szczecin,Poland_Szczecin_S1_2023-03-23_2023-03-23_05_17_13_DESCENDING_VVplusVH_BuiltUpMain.tif,Poland_Szczecin_S2_Top2_2023-01-16_10_25_47_cloud218_gap69_RGB_BuiltUpMain.tif,2023-03-23 05:17:13,2023-01-16 10:25:47,65.7857,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230323T051713_20230323T051738_047767_05BD0A_372D,20230116T102351_20230116T102349_T33UVV
Poland,Warsaw,Poland_Warsaw_S1_2023-03-03_2023-03-03_04_44_35_DESCENDING_VVplusVH_BuiltUpMain.tif,Poland_Warsaw_S2_Top1_2023-02-28_09_46_15_cloud243_gap1_RGB_BuiltUpMain.tif,2023-03-03 04:44:35,2023-02-28 09:46:15,2.7905,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230303T044435_20230303T044500_047475_05B322_E8D2,20230228T094029_20230228T094559_T34UDD
Poland,Wroclaw,Poland_Wroclaw_S1_2023-03-01_2023-03-01_05_01_19_DESCENDING_VVplusVH_BuiltUpMain.tif,Poland_Wroclaw_S2_Top2_2023-02-09_10_06_31_cloud112_gap23_RGB_BuiltUpMain.tif,2023-03-01 05:01:19,2023-02-09 10:06:31,19.7881,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230301T050119_20230301T050144_047446_05B236_6A57,20230209T100151_20230209T100209_T33UXS
Poland,Zielona Gora,Poland_Zielona_Gora_S1_2023-03-18_2023-03-18_05_09_26_DESCENDING_VVplusVH_BuiltUpMain.tif,Poland_Zielona_Gora_S2_Top3_2023-02-09_10_06_20_cloud274_gap33_RGB_BuiltUpMain.tif,2023-03-18 05:09:26,2023-02-09 10:06:20,36.7938,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230318T050926_20230318T050951_047694_05BAA7_0595,20230209T100151_20230209T100209_T33UWT
Turkiye,Adana,Turkiye_Adana_S1_2023-02-15_2023-02-15_03_42_47_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Adana_S2_2023-02-17_2023-02-17_08_39_38_RGB_BuiltUpMain.tif,2023-02-15 03:42:47,2023-02-17 08:39:38,2.2061,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230215T034247_20230215T034312_047241_05AB34_CB4B,20230217T082919_20230217T083630_T37SBB
Turkiye,Ankara,Turkiye_Ankara_S1_2023-01-20_2023-01-20_03_58_36_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Ankara_S2_2023-01-21_2023-01-21_08_49_03_RGB_BuiltUpMain.tif,2023-01-20 03:58:36,2023-01-21 08:49:03,1.2017,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230120T035836_20230120T035901_046862_059E7E_1A1A,20230121T084159_20230121T084309_T36TVK
Turkiye,Antalya,Turkiye_Antalya_S1_2022-12-27_2022-12-27_03_59_27_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Antalya_S2_2022-12-27_2022-12-27_08_50_10_RGB_BuiltUpMain.tif,2022-12-27 03:59:27,2022-12-27 08:50:10,0.2019,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20221227T035927_20221227T035952_046512_0592B6_C36B,20221227T084351_20221227T084350_T36STF
Turkiye,Aydin,Turkiye_Aydin_S1_2023-03-19_2023-03-19_04_15_41_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Aydin_S2_2023-03-20_2023-03-20_08_59_59_RGB_BuiltUpMain.tif,2023-03-19 04:15:41,2023-03-20 08:59:59,1.1974,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230319T041541_20230319T041606_047708_05BB15_4BA4,20230320T084651_20230320T085613_T35SNB
Turkiye,Balikesir,Turkiye_Balikesir_S1_2023-02-11_2023-02-11_04_15_17_DESCENDING_VVplusVH_BuiltUpMain.tif,Turkiye_Balikesir_S2_2023-02-16_2023-02-16_09_09_26_RGB_BuiltUpMain.tif,2023-02-11 04:15:17,2023-02-16 09:09:26,5.2043,DESCENDING,VV+VH,S1A_IW_GRDH_1SDV_20230211T041517_20230211T041542_047183_05A946_2C28,20230216T085939_20230216T090814_T35SND
